id,label,name,title,date
topic:padraig_o_huiginn_award_remarks,Topic,Pádraig Ó hUiginn Award Remarks,,
topic:philip_r_lane,Topic,Philip R. Lane,,
topic:ecb,Topic,ECB,,
doc:3,Document,Europe’s road to renewables,Europe’s road to renewables,2025-10-21
speech:3,Speech,Europe’s road to renewables,Europe’s road to renewables,2025-10-21
date:2025_10_21,Date,2025-10-21,,
org:speech,ORG,Speech,,
org:norges_banks_climate_conference,ORG,Norges Bank’s Climate Conference,,
loc:oslo,GPE,Oslo,,
loc:norway,GPE,Norway,,
loc:norway_oslo,GPE,Norway Oslo,,
date:21_october_2025,DATE,21 October 2025,,
org:norges_bank,ORG,Norges Bank,,
date:the_summer_of_2016,DATE,the summer of 2016,,
date:one_year_old,DATE,one year old,,
person:nord_stream_2,PERSON,Nord Stream-2,,
loc:ukraine,GPE,Ukraine,,
person:olav_h_hauge,PERSON,Olav H. Hauge,,
person:dette,PERSON,Dette,,
loc:russia,GPE,Russia,,
loc:the_united_states,GPE,the United States,,
org:the_international_energy_agency,ORG,The International Energy Agency,,
org:iea,ORG,IEA,,
date:annual,DATE,annual,,
date:november_last_year,DATE,November last year,,
loc:germany,GPE,Germany,,
date:2040,DATE,2040,,
date:more_than_a_quarter,DATE,more than a quarter,,
date:2030,DATE,2030,,
loc:southern_europe,LOC,Southern Europe,,
loc:atlantic,LOC,Atlantic,,
date:annually,DATE,annually,,
date:15_years,DATE,15 years,,
date:2050,DATE,2050,,
date:only_a_few_days_ago,DATE,only a few days ago,,
date:up_to_five_years,DATE,up to five years,,
date:up_to_nine_years,DATE,up to nine years,,
person:jane_goodall,PERSON,Jane Goodall,,
date:this_month,DATE,this month,,
org:international_energy_agency,ORG,International Energy Agency,,
date:2021,DATE,2021,,
date:the_second_half_of_2024,DATE,the second half of 2024,,
person:eurostat,PERSON,Eurostat,,
date:april,DATE,April,,
org:see_european_commission,ORG,See European Commission,,
date:8_march,DATE,8 March,,
org:the_ecb_conference_on_monetary,ORG,the ECB Conference on Monetary,,
date:6_october,DATE,6 October,,
person:bijnens,PERSON,Bijnens,,
person:g_et_al,PERSON,G. et al,,
date:5_may,DATE,5 May,,
person:anaya_longaric,PERSON,Anaya Longaric,,
org:working_paper_series,ORG,Working Paper Series,,
date:22_september,DATE,22 September,,
person:mckinsey,PERSON,McKinsey,,
date:24_october,DATE,24 October,,
loc:ai,GPE,AI,,
date:10_april,DATE,10 April,,
org:s,ORG,S.,,
loc:ninomiya,GPE,Ninomiya,,
org:imf_working_paper_series,ORG,IMF Working Paper Series,,
date:4_november,DATE,4 November,,
date:26_august,DATE,26 August,,
org:european_commission,ORG,European Commission,,
org:net_zero,ORG,Net-Zero,,
date:23_march,DATE,23 March,,
date:21_may,DATE,21 May,,
date:early_november_2024,DATE,early November 2024,,
org:see_clean_energy_wire,ORG,See Clean Energy Wire,,
date:early_november,DATE,early November,,
date:11_november,DATE,11 November,,
person:thomassen,PERSON,Thomassen,,
org:publications_office,ORG,Publications Office,,
org:the_european_union,ORG,the European Union,,
loc:draghi,GPE,Draghi,,
person:navia_simon,PERSON,Navia Simon,,
person:diaz_anadon,PERSON,Diaz Anadon,,
person:l,PERSON,L.,,
org:nature_energy,ORG,Nature Energy,,
loc:pp,GPE,pp,,
org:european_network_of,ORG,European Network of,,
org:transmission_system_operators_for_electricity,ORG,Transmission System Operators for Electricity,,
date:9_april,DATE,9 April,,
org:international_monetary_fund,ORG,International Monetary Fund,,
org:eu_energy_market_integration,ORG,EU Energy Market Integration,,
date:16_january,DATE,16 January,,
loc:kammer,GPE,Kammer,,
org:the_eu_energy_market_to_foster_growth_and_resilience,ORG,the EU Energy Market to Foster Growth and Resilience,,
org:efc,ORG,EFC,,
date:13_january,DATE,13 January,,
person:zachmann,PERSON,Zachmann,,
org:bruegel_policy_brief,ORG,Bruegel Policy Brief,,
date:14_february,DATE,14 February,,
loc:potrc,GPE,Potrč,,
person:s_et_al,PERSON,S. et al,,
date:august,DATE,August,,
date:2019,DATE,2019,,
org:renewable_energy,ORG,Renewable Energy,,
date:25_april,DATE,25 April,,
person:van_acker,PERSON,Van Acker,,
person:k_et_al,PERSON,K. et al,,
date:5_october,DATE,5 October,,
org:commission,ORG,Commission,,
org:working_document,ORG,Working Document,,
loc:bouabdallah,GPE,Bouabdallah,,
person:o_et_al,PERSON,O. et al,,
date:25_july,DATE,25 July,,
person:nerlich,PERSON,Nerlich,,
person:c_et_al,PERSON,C. et al,,
org:occasional_paper_series,ORG,Occasional Paper Series,,
person:chart_4,PERSON,Chart 4,,
loc:andersson,GPE,Andersson,,
person:economic_bulletin,PERSON,Economic Bulletin,,
date:18_april,DATE,18 April,,
date:30_june,DATE,30 June,,
topic:norges_banks_climate_conference,Topic,Norges Bank’s Climate Conference,,
topic:norway_europes_road,Topic,Norway Europe’s road,,
topic:norway_oslo,Topic,Norway Oslo,,
doc:4,Document,The transmission of monetary policy: financial conditions and credit dynamics,The transmission of monetary policy: financial conditions and credit dynamics,2025-10-21
speech:4,Speech,The transmission of monetary policy: financial conditions and credit dynamics,The transmission of monetary policy: financial conditions and credit dynamics,2025-10-21
org:macroeconomics_and_finance_conference,ORG,Macroeconomics and Finance Conference,,
org:the_governing_councils,ORG,the Governing Council’s,,
date:between_july_2022,DATE,Between July 2022,,
date:september_2023,DATE,September 2023,,
date:nine_month,DATE,nine-month,,
date:june_2024,DATE,June 2024,,
date:between_then_and_june_2025,DATE,Between then and June 2025,,
date:june,DATE,June,,
org:fci,ORG,FCI,,
org:macro_finance,ORG,Macro-Finance,,
org:the_macro_financial_fci,ORG,the Macro-Financial FCI,,
org:chart_1,ORG,Chart 1,,
org:str,ORG,STR,,
date:2008,DATE,2008,,
date:the_years_around_2012,DATE,the years around 2012,,
org:the_macro_finance_fci,ORG,the Macro-Finance FCI,,
date:late_2021,DATE,late 2021,,
date:july_2022,DATE,July 2022,,
org:macro_finance_financial,ORG,Macro-Finance Financial,,
person:bletzinger_t,PERSON,Bletzinger T.,,
org:martorana,ORG,Martorana,,
person:g,PERSON,G.,,
person:mistak,PERSON,Mistak,,
person:j,PERSON,J.,,
org:bletzinger,ORG,Bletzinger,,
person:t_et_al,PERSON,T. et al.,,
date:ten_year,DATE,ten-year,,
org:ois,ORG,OIS,,
date:one_year,DATE,one-year,,
date:five_year,DATE,five-year,,
org:hicp,ORG,HICP,,
org:pmi,ORG,PMI,,
org:goldman_sachs_fci,ORG,Goldman Sachs FCI,,
loc:stehn,GPE,Stehn,,
date:2020,DATE,2020,,
date:17_october_2025,DATE,17 October 2025,,
date:recent_years,DATE,recent years,,
person:chart_2_lending,PERSON,Chart 2 Lending,,
org:mir,ORG,MIR,,
date:december_1998,DATE,December 1998,,
date:may_2014,DATE,May 2014,,
org:dfr,ORG,DFR,,
date:june_1988,DATE,June 1988,,
date:october_1999,DATE,October 1999,,
date:november_2005,DATE,November 2005,,
date:may_2022,DATE,May 2022,,
date:august_2025,DATE,August 2025,,
org:bls,ORG,BLS,,
org:credit,ORG,Credit,,
org:bis,ORG,BIS,,
date:the_second_quarter_of_2025,DATE,the second quarter of 2025,,
date:july_2025,DATE,July 2025,,
date:the_first_quarter_of_2025,DATE,the first quarter of 2025,,
date:recent_quarters,DATE,recent quarters,,
loc:the_united_states9,GPE,the United States.[9,,
org:chart_4_firms,ORG,Chart 4 Firms,,
org:qsa,ORG,QSA,,
org:bsi,ORG,BSI,,
org:fvc,ORG,FVC,,
org:eurostat,ORG,Eurostat,,
org:heterogeneity,ORG,Heterogeneity,,
org:chart_5,ORG,Chart 5,,
date:january_2024,DATE,January 2024,,
org:ecs,ORG,ECS,,
org:anacredit,ORG,AnaCredit,,
org:nace,ORG,NACE,,
date:recent_three_months,DATE,recent three months,,
org:sts,ORG,STS,,
date:three_month,DATE,three-month,,
date:april_2025,DATE,April 2025,,
loc:pd,GPE,PD,,
date:may_2025,DATE,May 2025,,
org:ces,ORG,CES,,
date:the_past_two_decades,DATE,the past two decades,,
date:a_number_of_years,DATE,a number of years,,
date:the_past_year,DATE,the past year,,
date:recent_months,DATE,recent months,,
org:covid_19,ORG,COVID-19,,
date:the_second_quarter,DATE,the second quarter,,
org:chart_7_measures,ORG,Chart 7 Measures,,
person:baker,PERSON,Baker,,
org:bloom,ORG,Bloom,,
person:davis,PERSON,Davis,,
date:2016,DATE,2016,,
loc:bloomberg,GPE,Bloomberg,,
org:ea_epu,ORG,EA EPU,,
loc:china,GPE,China,,
date:the_last_quarter_of_2024,DATE,the last quarter of 2024,,
org:chart,ORG,Chart,,
date:july,DATE,July,,
date:december_2024,DATE,December 2024,,
org:households,ORG,Households,,
date:the_period_april_2025_to_july_2025,DATE,the period April 2025 to July 2025,,
date:the_past_12_months,DATE,the past 12 months,,
org:us_treasury,ORG,US Treasury,,
org:usd,ORG,USD,,
date:early_april,DATE,early April,,
org:the_year33,ORG,the year.[33],,
date:may,DATE,May,,
org:panel_a,ORG,Panel A,,
org:bank,ORG,Bank,,
org:usd_liquidity_coverage_ratio,ORG,USD Liquidity Coverage Ratio,,
date:january_2025,DATE,January 2025,,
person:lseg,PERSON,LSEG,,
date:end_year,DATE,end-year,,
org:usd_bank,ORG,USD Bank,,
org:eur,ORG,EUR,,
org:nsfr,ORG,NSFR,,
org:finrep,ORG,FINREP,,
org:paola_di_casola,ORG,Paola Di Casola,,
person:matias_lamas_rodriguez,PERSON,Matías Lamas Rodríguez,,
org:johannes_poschl,ORG,Johannes Pöschl,,
person:tilman_bletzinger,PERSON,Tilman Bletzinger,,
person:giulia_martorana,PERSON,Giulia Martorana,,
person:jakub_mistak,PERSON,Jakub Mistak,,
person:enrico_sette,PERSON,Enrico Sette,,
person:eurosystem,PERSON,Eurosystem,,
org:app,ORG,APP,,
org:pepp,ORG,PEPP,,
org:var,ORG,VAR,,
person:bletzinger,PERSON,Bletzinger,,
loc:martorana,GPE,Martorana,,
person:clearer,PERSON,Clearer,,
org:financial_conditions,ORG,Financial Conditions,,
loc:basel,GPE,Basel,,
org:basel_iii,ORG,Basel III,,
loc:borio,GPE,Borio,,
date:2002,DATE,2002,,
org:bis_working_paper,ORG,BIS Working Paper,,
loc:kamps,GPE,Kamps,,
person:avalos,PERSON,Avalos,,
person:pinter,PERSON,Pinter,,
org:bis_quarterly_review,ORG,BIS Quarterly Review,,
date:march,DATE,March,,
loc:jang,GPE,Jang,,
loc:ys,GPE,Y.S.,,
person:kaplan,PERSON,Kaplan,,
org:review_of_corporate_finance_studies,ORG,Review of Corporate Finance Studies,,
person:vol,PERSON,Vol,,
date:335_83,DATE,335-83,,
org:acharya,ORG,Acharya,,
loc:tuckman,GPE,Tuckman,,
person:b,PERSON,B.,,
date:no_18939,DATE,No 18939,,
person:buch,PERSON,Buch,,
date:3_june,DATE,3 June,,
org:stanford_graduate_school_of_business,ORG,Stanford Graduate School of Business,,
date:2_may,DATE,2 May,,
org:stanford,ORG,Stanford,,
org:the_bank_of_greece_conference_on_public_debt,ORG,the Bank of Greece Conference on Public Debt,,
date:7_november,DATE,7 November,,
org:altavilla,ORG,Altavilla,,
loc:gurkaynak,GPE,Gürkaynak,,
loc:rs,GPE,R.S.,,
person:quadvlieg,PERSON,Quadvlieg,,
org:macro_and_micro_of_external_finance_premium,ORG,Macro and Micro of External Finance Premium,,
org:journal_of_monetary_economics,ORG,Journal of Monetary Economics,,
loc:boucinha,GPE,Boucinha,,
loc:holton,GPE,Holton,,
person:ongena,PERSON,Ongena,,
org:credit_supply_and_demand_in_unconventional_times,ORG,Credit Supply and Demand in Unconventional Times,,
org:journal_of_money_credit_and_banking,ORG,"Journal of Money, Credit and Banking",,
loc:altavilla,GPE,Altavilla,,
org:canova,ORG,Canova,,
person:ciccarelli,PERSON,Ciccarelli,,
person:greenwald,PERSON,Greenwald,,
loc:dl,GPE,D.L.,,
loc:krainer,GPE,Krainer,,
org:the_journal_of_finance,ORG,The Journal of Finance,,
org:board_of_the_ecb,ORG,Board of the ECB,,
org:dornbusch,ORG,Dornbusch,,
date:1998,DATE,1998,,
person:dornbusch,PERSON,Dornbusch,,
person:carlo_a,PERSON,Carlo A.,,
org:giavazzi_f_1998,ORG,"Giavazzi, F. (1998",,
org:nber_working_paper,ORG,NBER Working Paper,,
org:badarinza,ORG,Badarinza,,
loc:campbell,GPE,Campbell,,
loc:jy,GPE,J.Y.,,
person:ramadorai,PERSON,Ramadorai,,
org:international_evidence_on_interest_rates,ORG,International Evidence on Interest Rates,,
org:the_choice_of_adjustable_rate_mortgages_management_science_vol,ORG,"the Choice of Adjustable-Rate Mortgages, Management Science, Vol",,
date:64,DATE,64,,
loc:garriga,GPE,Garriga,,
loc:kydland,GPE,Kydland,,
loc:fe,GPE,F.E.,,
org:sustek,ORG,Sustek,,
date:2017,DATE,2017,,
org:the_review_of_financial_studies,ORG,The Review of Financial Studies,,
person:corsetti,PERSON,Corsetti,,
loc:duarte,GPE,Duarte,,
loc:jb,GPE,J.B.,,
person:mann,PERSON,Mann,,
person:s,PERSON,S.,,
org:journal_of_the_european_economic_association,ORG,Journal of the European Economic Association,,
person:baptista,PERSON,Baptista,,
loc:dossche,LOC,Dossche,,
loc:m,GPE,M.,,
loc:hannon,LOC,Hannon,,
loc:henricot,GPE,Henricot,,
person:kouvavas,PERSON,Kouvavas,,
loc:malacrino,LOC,Malacrino,,
loc:zimmermann,GPE,Zimmermann,,
loc:crawley,GPE,Crawley,,
person:kuchler,PERSON,Kuchler,,
org:american_economic_journal_macroeconomics,ORG,American Economic Journal: Macroeconomics,,
loc:bozzelli,GPE,Bozzelli,,
person:mendicino,PERSON,Mendicino,,
person:skoblar,PERSON,Skoblar,,
person:a,PERSON,A.,,
loc:velasco,GPE,Velasco,,
date:2_october,DATE,2 October,,
person:falconio,PERSON,Falconio,,
person:schumacher,PERSON,Schumacher,,
date:1_september,DATE,1 September,,
person:bernanke,PERSON,Bernanke,,
date:1983,DATE,1983,,
org:cyclical_investment,ORG,Cyclical Investment,,
org:quarterly_journal_of_economics,ORG,Quarterly Journal of Economics,,
date:85106,DATE,85–106,,
person:rodrik,PERSON,Rodrik,,
date:1991,DATE,1991,,
org:journal_of_development_economics,ORG,Journal of Development Economics,,
org:carboni,ORG,Carboni,,
person:lenza,PERSON,Lenza,,
loc:uhlig,GPE,Uhlig,,
org:american_economic_journal,ORG,American Economic Journal:,,
person:jasova,PERSON,Jasova,,
loc:supera,GPE,Supera,,
person:correa,PERSON,Correa,,
loc:giovanni,GPE,Giovanni,,
org:j_goldberg,ORG,"J., Goldberg",,
loc:ls,GPE,L.S.,,
org:minou_c_2023,ORG,"Minou, C. (2023",,
org:us_bank,ORG,U.S. Bank,,
date:no_31860,DATE,No 31860,,
person:allayioti_et_al,PERSON,Allayioti et al,,
loc:lakdawala,GPE,Lakdawala,,
loc:moreland,LOC,Moreland,,
org:the_transmission_of_monetary_policy,ORG,the Transmission of Monetary Policy,,
org:review_of_economics_and_statistics,ORG,Review of Economics and Statistics,,
org:the_bank_of_england_watchers_conference,ORG,the Bank of England Watchers’ Conference,,
org:kings_college_london,ORG,King’s College London,,
loc:london,GPE,London,,
date:25_november,DATE,25 November,,
person:gunella,PERSON,Gunella,,
org:v_stamato,ORG,"V., Stamato",,
org:kobayashi,ORG,Kobayashi,,
org:trump_administration,ORG,Trump Administration,,
date:the_next_three_months,DATE,the next three months,,
loc:a_united_states_european_union_framework,GPE,a United States-European Union Framework,,
person:faccini,PERSON,Faccini,,
person:lee,PERSON,Lee,,
loc:luetticke,GPE,Luetticke,,
person:m_o,PERSON,M. O.,,
org:american_economic_review,ORG,American Economic Review,,
person:l_stracca,PERSON,L. Stracca,,
person:beck,PERSON,Beck,,
loc:t,GPE,T.,,
loc:bednarek,LOC,Bednarek,,
org:kaat,ORG,Kaat,,
person:von_westernhagen,PERSON,von Westernhagen,,
person:n,PERSON,N.,,
person:desai,PERSON,Desai,,
person:foley,PERSON,Foley,,
org:forbes,ORG,Forbes,,
org:financial_constraints,ORG,Financial Constraints,,
org:multinational_and_local_firm_responses,ORG,Multinational and Local Firm Responses,,
date:2857_2888,DATE,2857-2888,,
person:di_giovanni,PERSON,Di Giovanni,,
person:l_s,PERSON,L. S.,,
date:31860,DATE,31860,,
person:abbassi,PERSON,Abbassi,,
loc:brauning,GPE,Bräuning,,
org:journal_of_international_economics,ORG,Journal of International Economics,,
org:giannetti,ORG,Giannetti,,
org:journal_of_financial_economics,ORG,Journal of Financial Economics,,
date:168_104058,DATE,"168, 104058",,
loc:ferrari,GPE,Ferrari,,
person:kho,PERSON,Kho,,
loc:tushteva,GPE,Tushteva,,
org:working_paper,ORG,Working Paper,,
date:3010,DATE,3010,,
org:altavilla_c_rostagno_m,ORG,"Altavilla C., Rostagno M.",,
person:schumacher_j,PERSON,Schumacher J.,,
date:3009,DATE,3009,,
date:previous_years,DATE,previous years,,
person:klaus,PERSON,Klaus,,
person:mingarelli,PERSON,Mingarelli,,
org:fx,ORG,FX,,
org:financial_stability_review,ORG,Financial Stability Review,,
date:november,DATE,November,,
loc:ivashina,GPE,Ivashina,,
person:scharfstein,PERSON,Scharfstein,,
person:d_s,PERSON,D. S.,,
loc:stein,GPE,Stein,,
date:2015,DATE,2015,,
org:the_lending_behavior_of_global_banks,ORG,the Lending Behavior of Global Banks,,
org:the_quarterly_journal_of_economics,ORG,The Quarterly Journal of Economics,,
person:ippolito,PERSON,Ippolito,,
person:jl,PERSON,J.L.,,
loc:polo,GPE,Polo,,
person:sette,PERSON,Sette,,
loc:v_and,GPE,V. and,,
loc:steffen,GPE,Steffen,,
topic:transmission,Topic,transmission,,
topic:monetary_policy,Topic,monetary policy,,
topic:financial_conditions,Topic,financial conditions,,
topic:credit_dynamics,Topic,credit dynamics,,
topic:welcome_address,Topic,Welcome address,,
doc:5,Document,How to revive growth in Europe,How to revive growth in Europe,2025-10-20
speech:5,Speech,How to revive growth in Europe,How to revive growth in Europe,2025-10-20
date:2025_10_20,Date,2025-10-20,,
person:isabel_schnabel,Person,Isabel Schnabel,,
loc:europe_slides,LOC,Europe Slides,,
org:5th_we_are_in_macroeconomics_finance_conference,ORG,5th WE_ARE_IN Macroeconomics & Finance Conference,,
topic:europe_slides,Topic,Europe Slides,,
topic:isabel_schnabel,Topic,Isabel Schnabel,,
topic:european_central_bank,Topic,European Central Bank,,
topic:5th_we_are_in_macroeconomics_finance_conference,Topic,5th WE_ARE_IN Macroeconomics & Finance Conference,,
doc:6,Document,Opening remarks,Opening remarks,2025-10-18
speech:6,Speech,Opening remarks,Opening remarks,2025-10-18
date:2025_10_18,Date,2025-10-18,,
org:the_global_economic_outlook,ORG,the “Global Economic Outlook,,
date:18_october_2025,DATE,18 October 2025,,
loc:the_united_kingdom,GPE,the United Kingdom,,
loc:australia,GPE,Australia,,
loc:canada,GPE,Canada,,
loc:hong_kong,GPE,Hong Kong,,
loc:mexico,GPE,Mexico,,
loc:brazil,GPE,Brazil,,
loc:turkiye,GPE,Türkiye,,
loc:south_korea,GPE,South Korea,,
date:this_year,DATE,this year,,
date:the_first_half_of_this_year,DATE,the first half of this year,,
date:the_2010s,DATE,the 2010s,,
date:the_start_of_2022,DATE,the start of 2022,,
date:the_years_ahead,DATE,the years ahead,,
date:the_next_three_years,DATE,the next three years,,
org:imf,ORG,IMF,,
date:last_year,DATE,last year,,
org:the_united_states8,ORG,the United States.[8],,
date:around_a_quarter,DATE,around a quarter,,
date:each_year,DATE,each year,,
org:single_market,ORG,Single Market,,
org:intra_euro,ORG,intra-euro,,
person:emter,PERSON,Emter,,
person:fidora,PERSON,Fidora,,
person:pastoris,PERSON,Pastoris,,
person:f,PERSON,F.,,
org:schmitz,ORG,Schmitz,,
loc:schuler,GPE,Schuler,,
person:t,PERSON,T.,,
date:12_month,DATE,12-month,,
date:september_2025,DATE,September 2025,,
person:al_haschimi,PERSON,Al-Haschimi,,
person:gunnella,PERSON,Gunnella,,
person:ordonez_martinez,PERSON,Ordoñez Martínez,,
org:i,ORG,I.,,
org:t,ORG,T.,,
loc:spital,GPE,Spital,,
org:external_sector_report,ORG,External Sector Report,,
person:baumann,PERSON,Baumann,,
loc:caprari,GPE,Caprari,,
person:kocharkov,PERSON,Kocharkov,,
topic:panel,Topic,panel,,
